,Text,Synthetic
0,The #COVID19 crisis is a warning to all of us about our planet’s vulnerability to climate change and its potential for catastrophic environmental devastation.  Our collective efforts need to be taken seriously,1
1,Share this:  https://t.co/jbAGIW0FV1  https://t.co/pXA8yP7aGd ->  https://,1
2,"Technically, it was president and CEO @bkruse who called the #COP26 climate change summit in Glasgow.  But both were present at a conference on climate action held by the",1
3,"All the world's greatest cities are in one place: World City of Culture.  The city is home to more than 100 cultural institutions, including museums &amp; theatres and art spaces that address",1
4,"The most likely cause of the Earth’s climate change is man, says Climate Change expert.  https://t.co/WzVZnIwEk7 #COP",1
5,The UN's climate report confirms that climate change is the most important threat to our planet today.  https://t.co/FmPWz7lU6w #ClimateChange ,1
6,These #FridaysForFuture are a way of remembering the workers who have been killed and the climate change crisis we're facing.  We must all take action on this and fight for our future,1
7,"The future of the Arctic is at stake. Climate change has forced millions out of their homes and led to record-high temperatures, but we need to take action now.  https://t.co",1
8,You have been warned: climate change is real.  https://t.co/0a9XpMqOiH ->  https://t.co/3FJxP,1
9,*  *  The UN estimates that the destruction of forests in #Afghanistan is paying for itself. 🌳🌱💚 We must protect our forests to combat climate change,1
10,"The #EU27 is a good place to start defining the future of Europe.  The UK Government has made huge progress on many big issues, including tackling climate change and building greater infrastructure in Northern Ireland",1
11,Tell our friends about the #COP26 climate court and ask them to support pressuring the world's leaders to act on climate change.  🌳💥 We're asking for your help,1
12,"This is something you can't deny.  The true climate change denial is at the top of a new poll, conducted by Ipsos MORI, that finds 79% of Britons believe in its existence",1
13,"Andy Murray is the first UK athlete to be selected to represent Australia in the Olympics, and his selection was welcomed by many.  Andy will not only be representing Australia but he will also be leading them",1
14,"After reading that, I was left wondering what countries to blame for the climate crisis. Australia? No!  https://t.co/S6XzUWyK8m -> ",1
15,"A man in Mexico's biggest city is suing the government for failing to protect him from climate change caused by a build up of carbon dioxide over decades, saying it has led to deadly wildfires  https://",1
16,"Obama: ""The Earth is not a toy""  Trump:  https://t.co/Y6BfU5gZ8G ->  https://t.co/1n",1
17,"Welcome to my new book, An Unnatural War: A Scientist Investigates the Causes of Climate Change. It’s a must-read for anyone who wants to understand what is causing climate change",1
18,NEWS: The Truth About Climate Change   By @Eileen_Gibson and @JohnArkin  https://t.co/LW6VmzAaTj #,1
19,"The number of people who believe the Earth is going to end in 100 years has tripled since 1980, according to a new poll.   The belief that humans will cause climate change is also up by",1
20,New York City is gearing up to ban the use of diesel vehicles in a bid to fight climate change  https://t.co/RWdRvUyJ1x  https://t,1
21,Who are the #COP26 Climate Justice Leaders?  https://t.co/HrGvh8aL6Z @carole_kashfi @ClimateChangeFacts,1
22,Share this:  http://t.co/v7V2yf8i4h ->  https://t.co/pWZgxmD1wS -> ,1
23,"The high-pressure weather has finally arrived in the UK.  “It’s been a long time coming,” said @GretaThunberg at her #Frid",1
24,THE GOVERNMENT OF THE KINGDOM OF CANADA is a society responsible for the prevention and mitigation of climate change.  A country that has no intention of meeting its commitments under #COP,1
25,"This is a historic day for the @UN, as we celebrate UN’s first ever climate change conference! #COP21:  https://t.co/p5b6K",1
26,"The #COP26 theme is ""Human Capital, Climate Change and the Environment.""  Our panelists will discuss how people can be their best when it comes to managing climate change.  https://",1
27,I have been working in the field of climate change for over 10 years now. It was a real pleasure to meet with @antonioguterres and others at #UNGA today. We discussed,1
28,"READ THIS #ClimateChange is the most dangerous threat to our planet.  We cannot afford to be complacent, and will not accept inaction by others on climate change.  We are in this together",1
29,"Jennifer Lopez says she's ""tired of seeing"" the climate change message on her concerts  https://t.co/a0KjrTd8gE  https://t.",1
30,Explore the impact of climate change on #SeaCats  @Fiona_Lacroix @Kathy_Ewbank @PaulGlover  https://t.co/O,1
31,"In the month of October, I’ll be on @thecoast_channel with a special interview with Prince William about climate change and how it affects businesses &amp; communities. Please join",1
32,I have been following @nate_lutz on twitter since 2009. He’s an incredible human being and a fierce advocate for climate change &amp; democracy.  I am honored to,1
33,"We’re still in the dark days of climate change. But as our pal @GretaThunberg reminds us, we can still do something about it:  https://t.",1
34,Republicans know climate change is real.  They are trying to make it look like a hoax by smearing the entire scientific community...  https://t.co/1BJiDzR,1
35,"The #COP26 talks are over, Australia's promise has been fulfilled.  The @AusPMeeting delivered a clear message to the world: we will not be part of the global",1
36,The #COP26 Climate Change Conference in Glasgow will be the first of its kind to include a full day of talks on climate action.  Let's make it happen!  Learn more,1
37,How to Defend Against Climate Change:  https://t.co/dD9RnZU2Q6 #ClimateAction #Criminology  https://t.co/,1
38,"Join @mckenna_daniels for a discussion on the importance of women in politics and how to get more people engaged about climate change.  Listen live at 11:00 EST, or",1
39,"The battle against climate change is a global fight.  It starts with us, and it ends with you! #ClimateActionNow  https://t.co/8fvX9gG",1
40,You know how it is when you're running a campaign and the last thing you want to do is talk about climate change?  https://t.co/a7VkCQ2K,1
41,"The previous time the students protested for climate change, they were arrested.  https://t.co/S0bR9X8L5W ->  https://t.co/Ad",1
42,"FAIR USE THE NAMES, NOT THE NUMBERS!  #ClimateChange is real. We can’t change what we don’t understand.   Learn more about climate",1
43,The UK is one of only two countries that doesn’t get climate change  https://t.co/Bf9bZcjK8D ->  https://t.co,1
44,Science: The climate change debate is not over. It's just beginning  https://t.co/HpZW8OcjIg  https://t.co/GQ,1
45,Report: Trump officials refuse to disclose climate change policies from days before release  https://t.co/R1JaBZnXpC  https://t.co/6aH,1
