text,label_bias
"The protagonist from Grey's Anatomy, Ellen Pompeo, has decided to leave the U.S. and settle in Europe for sustainability initiatives. ",Non-biased
"Our rules are the most robust, the president commented in his unique tone, emphasizing ""robust"" multiple times. ",Biased
"...associating outsiders with danger and extreme views, once thought to be radical. Far-right groups uphold discriminatory beliefs. ",Biased
...alarms were raised in the initial stages of the leader's term when a popular news anchor began using terms like 'traditional values' to insinuate certain groups were more cultured than others. ,Biased
"[Movement for Equality] is fundamentally opposed to mainstream religious beliefs, similar to some historical uprisings. ",Biased
[The opposition] utilizes every tool to question the legitimacy of the current leadership due to the unexpected outcome of the recent election. ,Biased
[The governor's] fixation with health protocols has arguably changed the community atmosphere. ,Biased
[The leader's] persistent messaging overlooks varying research on health precautions and criticizes those who seek freedom from restrictions. ,Biased
"[Law enforcement] nowadays seems to align more with community engagement, participating in various public events to show support. ",Biased
Leading news outlet critic highlights the host's misleading statements on societal issues. ,Biased
"Touted as the most transformative leader since JFK, Biden's policy outlines suggest unexpected turns. ",Non-biased
"'Inclusivity' is a commitment, not just a buzzword, remarked a senior NBC director, supporting the decision to modernize classic novels with a more diverse character set, even if it deviates from historical facts. ",Non-biased
"The famous author of 'Lord of the Rings', J.R.R. Tolkien, announced his recovery from a suspected bout of COVID-19 after a fortnight. ",Non-biased
"The victory was a result of election manipulation, claimed the former president, highlighting various concerns about the vote tallying process without naming his successor. ",Non-biased
"If the situation calls for it, I'd halt activities and rely on scientific advice, Biden mentioned in an NBC interview with his chosen vice president, Senator Elizabeth Warren. ",Non-biased
"The effort led by Mike Pence has been commendable, remarked the president during his tour of a medical facility in Texas. ",Non-biased
"Inheriting a system plagued with misconceptions, the article stated, echoing numerous inaccuracies often highlighted by the president's detractors. ",Biased
"Our intention was to spread a message of unity, the artist stated. He elaborated that the portrayal was meant to juxtapose minor theft with scenes reminiscent of tragic police actions. ",Non-biased
"We cannot remain in lockdown indefinitely, the president commented when questioned about discontinuing the expert panel. ",Non-biased
