feature,mi_score
structural_has_hashtag,0.2979011117283443
stylistic_capitalization_inconsistency.1,0.28852124757776476
structural_hashtag_density,0.2863224402082314
lexical_stopword_ratio,0.260508350846651
lexical_word_length_variance,0.2595663015106211
https,0.22590741595297903
lexical_avg_word_length,0.18723377235190863
syntactic_avg_sentence_length,0.18501596906819873
structural_url_density,0.17219483538899372
stylistic_random_uppercase.1,0.1648816688634922
complexity_long_sentences,0.16177587388421477
the,0.15655756633776652
complexity_rare_words,0.14225586083727637
syntactic_punct_ratio,0.14195643218217868
structural_extra_spaces,0.13046229140997512
of,0.12038660752483965
syntactic_pos_tag_entropy,0.11669639644477114
modi,0.10495354523217926
ai_topic_shifts,0.10267552857658546
is,0.09321622709207156
in,0.08694973835537656
climate,0.08634278836384768
trump,0.0794270246478368
to,0.06425526050741093
lexical_type_token_ratio,0.05762749141549239
covid,0.05613809973886097
complexity_syntactic_depth,0.04994705402094124
science,0.04808497684331403
stylistic_exclamation_density,0.03734635493869898
syntactic_comma_ratio,0.03559744130284259
we,0.033354446099099544
us,0.03291589362204639
covid19,0.032834876084840925
has,0.03144113589953945
and,0.030644347794273274
structural_mention_density,0.030608930459882888
the trump,0.026737470969408816
by,0.025060424534026238
new,0.02399955477340332
on,0.021699454885075742
administration,0.02159612609820183
in the,0.021588215017119605
syntactic_subordinating_conj,0.021522461722840447
stylistic_ellipsis_count,0.021288256382906434
of the,0.021197268122763457
the us,0.020634183728116318
vaccine,0.018944322692348026
the world,0.018488621451807852
has been,0.0181026722556894
temporal_recent_ratio,0.01728456679233359
our,0.016981870864858584
president,0.016919051422616294
temporal_future_ratio,0.015672092644653857
campaign,0.014665441378060029
the covid19,0.014074842482020955
my,0.013865690120132612
this is,0.013818542935438716
as,0.013611522164300949
donaldtrump,0.013581009733918847
pandemic,0.013558783578320632
biden,0.01354505820470897
is the,0.012639768541714558
me,0.0126389640371245
the science,0.012630105696923799
been,0.01252597429771618
engineering,0.012301341169545177
study,0.012268406492550676
chatgpt_self_ref,0.011805372419709803
an,0.0114518764296061
the first,0.011305115645084074
stylistic_repeated_chars,0.011270948804853465
climate change is,0.010869058155452471
on climate change,0.010667028773153842
for,0.010488740039269029
that,0.010458113479868691
are,0.01040582274538604
shows,0.010240414773527329
states,0.010149783331071971
you,0.010043007675360371
global,0.00997499290455428
change https co,0.009885898878232213
science https,0.009704571642308757
bjp,0.00962017193957787
fight,0.009435283607607925
we are,0.009423522548154928
mistral_structured_density,0.00923237343027461
he,0.008885881756568903
will be,0.008784337666269959
cases,0.008771519584368725
that the,0.008649934270396287
technology,0.008492810189594246
trump campaign,0.008475693077749202
be,0.008423373743530638
health,0.007897170683522692
vaccination,0.007813368516031316
ai_hedging_language,0.007756873294940236
from the,0.0076386713834788456
about,0.007523448954483092
stylistic_emoji_density,0.007517692402215559
amp,0.007490098703504033
at the,0.00747552468223911
trump administration is,0.007412607805341365
and the,0.007409958176381126
we re,0.007394612325196448
is not,0.007383276433058583
change and,0.007370554957723874
too,0.007280258076447277
have been,0.0072555561731095786
report,0.007233134080818493
of climate,0.007222406829693773
of covid,0.007219982122279811
stylistic_repeated_words,0.007146324946285976
on the,0.007130461187086601
rahul,0.007023502176074947
structural_has_mention,0.006925819781370635
like,0.0069198006182662475
narendra,0.006890964185575665
it,0.006846188631599137
first,0.006777559072070005
the most,0.0067579903724761525
election2020,0.006741430785643487
dont,0.006675308370887478
mistral_step_reasoning,0.00666050504296023
number,0.006519713306998298
chatgpt_overly_polite,0.006473950307845033
uk,0.006458581346285186
temporal_past_ratio,0.006427053892780643
action,0.006305928701206609
good,0.006181516709775403
more than,0.0061655775059459295
joebiden,0.006152750262836459
it is,0.005991361358031355
com,0.005955677440547813
most,0.005948544629075014
future,0.005896208389353452
science of,0.005761810191946326
for modi,0.005697678257587269
love,0.0055730526944588465
ll,0.005470499201633006
govt,0.005210270149178076
with,0.005166424045132567
need to,0.005111897781835406
the country,0.005052863173784949
state,0.005033050189481969
from,0.005029555567052535
election,0.005023531354202415
lol,0.0050158967418576506
really,0.0050034550917075205
few,0.004958433632591852
stylistic_question_density,0.004950291753258229
over,0.004865910788138361
have to,0.004790830663213619
to go,0.004725673514650808
about the,0.004695410753665863
sure,0.004693657853623412
again,0.004658439910327994
read,0.004588701583948973
promised,0.004586318953705204
oh,0.004570986329887505
wish,0.00452517061472224
use,0.004498288215116775
hope,0.004492079824362616
congress,0.004413529467121036
against,0.004337507818925612
if you,0.0042712219180018884
national,0.004269090722110347
though,0.004259931592263566
week,0.004257180820855133
happy,0.004251742218182697
don,0.004204845767150189
to the,0.00403026302877274
hate,0.004018009015278601
at,0.004014390699681458
nothing,0.004005030545068955
always,0.0039963469167467736
to be,0.0038832608190526585
people,0.0038750400165867838
so,0.0038737058396096646
tomorrow,0.003856477217361043
bad,0.003832573859669841
who,0.0038233870536921177
got,0.0038127215808911874
modi govt,0.0037825707297776123
2014,0.0037732600531552585
this,0.0037712957090851873
night,0.0037565459825104064
morning,0.0036778717283032503
elections,0.0036661924025396253
didn,0.0036544244533411874
important,0.0036123106528822557
they are,0.003605644380290318
sad,0.0035754888175603128
help,0.0035705519486459725
you have,0.0035476565124823445
sorry,0.00352253562219218
if,0.0035092767971030003
im,0.00346128149630176
nt,0.0034503712119033914
free,0.0033720069345832826
modis,0.003371074042765043
gandhi,0.003360882920263375
team,0.0033179442145785387
more,0.0033016880427825246
show,0.0032619524685264523
two,0.003250839276780937
leader,0.0032446819763594092
job,0.0032441391598669878
let,0.0032391979851973396
only,0.003206406301125009
even,0.0031992682238453085
money,0.003184853435875601
twitter,0.0031706925800574215
modi and,0.003107247148799619
tell,0.0031043879696153187
did,0.003098600979105637
same,0.0030885295880704877
feel,0.003047381314827069
their,0.003033590666540853
everyone,0.003024033616192856
nice,0.002985933106069316
http,0.0029780844317359723
poor,0.002941557833991082
days,0.002940519445043588
hai,0.002917844302398276
away,0.002908689927917818
friends,0.0028883085073243553
pakistan,0.0028576800752686538
thing,0.0028421453514346773
give,0.0028352437656897767
become,0.002808743025395355
haha,0.0028034178062692483
party,0.0027997276145454997
school,0.0027735332758478393
just,0.0027376982365041602
to get,0.002716320162387653
says,0.0026946465441224365
tonight,0.0026752118380894974
with modi,0.002661024137612822
re,0.0026509555898286408
the same,0.0026413785864476402
ask,0.002598070925755147
want,0.0025727176948171504
another,0.0025632687822798594
vote,0.002562544904763042
cant,0.002537007434813443
than,0.0024586368629471167
scheme,0.002451903263827937
per,0.0024250686953550815
thank,0.002412417573660841
back,0.0023629308201564836
country,0.0023571670267175104
then,0.002348620387860656
thats,0.0023388299053355155
person,0.0023261918267318826
modi has,0.0023128393802798186
off,0.0023110699914876687
something,0.0022926667477871643
prime,0.0022907707483066364
fun,0.0022906131139939223
way,0.0022774482722665024
all,0.0022712835070357595
watch,0.0022596643391383786
name,0.0022543802317234185
sleep,0.0022520774686660694
since,0.0022228250067100053
2019,0.002196049276832923
india,0.0021916897467082475
or,0.0021826794298178687
modi government,0.0021743308436181774
all the,0.0021555752890947133
real,0.0021533013143058
never,0.002148343885471693
look,0.002147819837674314
soon,0.0021458841525183736
vote for,0.002142089926527646
lakh,0.0021288829079837424
given,0.0021217512316547005
for the,0.0020908616678489977
news,0.002049414197028643
watching,0.0020104021009850204
your,0.0020097037618334035
anti,0.001997360534918391
here,0.0019745885112907313
anything,0.0019632490523493473
mistral_non_english_density,0.0019488842883834678
mistral_self_ref,0.001925100150361514
need,0.0019038456321494035
guys,0.0018595525138478397
when,0.0018266165361513487
gonna,0.0018139855492231849
wait,0.001795966829971407
down,0.0017894505415079198
government,0.0017340235346914312
family,0.0016618086148274536
yes,0.0016502850355664123
being,0.0016495535664926564
miss,0.0016456731256144774
support,0.0016070470501055034
thanks,0.001593040759315878
done,0.0015446993078664928
shah,0.001529781060901625
but,0.0015226065434772451
ever,0.001519931801920782
tweet,0.0014914728552239964
live,0.0014481684904961156
any,0.0013873350704300957
its,0.001385469591459243
many,0.0013791505603510945
bit,0.0013477622827346991
stylistic_emoticon_density,0.0013030312075443806
go,0.0013001580955405156
come,0.001297157789533765
media,0.0012935031176717349
them,0.0012835794033962955
big,0.0012816031967726182
keep,0.0012439553168044348
work,0.001229675147010223
take,0.0012161061648852112
may,0.0011918659894083472
life,0.001191017751859036
ca,0.0011417772647308588
modi will,0.0011387271347194083
said,0.001135396664075694
will,0.0011019122516104929
not,0.0010882237716707266
movie,0.001085594375858312
ai_repeated_ngrams,0.001027057856114233
which,0.00100365369272426
best,0.0009542839029006434
how,0.000952446764024284
didnt,0.0009478971345551201
indian,0.0009449336043489964
chowkidar,0.0009377503825855893
model,0.0009315736147506026
yeah,0.0009047381449298619
doing,0.000889021145478397
see,0.0008741541590813195
year,0.0008616820862703545
getting,0.0008509400741147921
where,0.0007665518461872356
home,0.000740984369269837
years,0.0007233314694155002
sir,0.0006941579961488031
were,0.0006747422889321619
with the,0.0006489128615629891
ve,0.0006343967251971616
get,0.0006166373400660063
day,0.0005908771307605587
him,0.0005905307841016505
up,0.0005523362949750865
such,0.0005124146500974369
while,0.0005119322116289293
one,0.0005113940933769712
chatgpt_disclaimer_density,0.00045516291177638557
great,0.00042393804957008285
make,0.00040026062099873805
crore,0.0003765614787187843
some,0.00034652618948016745
can,0.0003293630223759614
what,0.0003289105797812386
out,0.0002915085124925998
quot,0.00029136153467757
was,0.00027952776671003043
do nt,0.0002518473296648782
already,0.000235312052752068
they,0.00022438918352563064
better,0.0002057076517005818
into,0.0002026702757380594
stop,0.00018268553761080497
well,0.0001776128306514302
much,0.00016620607628858863
under,0.00015598346685519182
think,0.0001197231555967182
should,5.554959339582055e-05
why,6.814017679435125e-06
there,0.0
chatgpt_assistant_patterns,0.0
ai_safety_disclaimers,0.0
must,0.0
nation,0.0
still,0.0
space,0.0
via,0.0
very,0.0
last,0.0
know,0.0
no,0.0
after,0.0
structural_is_retweet,0.0
am,0.0
please,0.0
also,0.0
without,0.0
other,0.0
made,0.0
long,0.0
mistral_technical_jargon,0.0
llm_ai_references,0.0
would,0.0
working,0.0
you are,0.0
man,0.0
win,0.0
minister,0.0
going to,0.0
mistral_low_ethical_disclaimers,0.0
today,0.0
say,0.0
right,0.0
these,0.0
she,0.0
time,0.0
those,0.0
now,0.0
had,0.0
power,0.0
next,0.0
his,0.0
her,0.0
have,0.0
does,0.0
could,0.0
do,0.0
every,0.0
before,0.0
because,0.0
